day_of_week,is_weekend,hour,demand_level
2,0,13,1
1,0,10,1
1,0,13,1
4,0,10,2
6,1,12,6
3,0,10,2
0,0,9,1
5,1,15,9
3,0,9,4
1,0,10,5
3,0,12,2
6,1,12,8
1,0,11,4
5,1,9,6
5,1,12,9
6,1,16,10
1,0,12,3
4,0,15,8
4,0,10,5
3,0,17,5
2,0,9,4
1,0,12,5
0,0,10,5
1,0,16,6
1,0,20,3
3,0,10,4
2,0,17,7
3,0,18,5
1,0,17,4
4,0,17,4
1,0,15,7
1,0,10,3
4,0,12,4
6,1,19,7
4,0,11,1
6,1,15,8
1,0,17,5
2,0,16,4
0,0,14,8
6,1,13,8
1,0,10,4
0,0,18,3
5,1,19,9
1,0,20,5
6,1,11,6
0,0,19,3
2,0,18,4
2,0,9,1
3,0,15,8
3,0,17,8
1,0,11,3
5,1,20,9
5,1,19,6
4,0,15,5
0,0,11,1
0,0,12,1
5,1,9,7
1,0,11,2
5,1,20,6
0,0,10,1
0,0,20,2
0,0,19,2
5,1,16,8
3,0,15,6
6,1,20,6
6,1,10,5
6,1,15,9
6,1,14,9
6,1,10,5
2,0,14,5
1,0,15,6
6,1,9,7
4,0,19,3
2,0,15,4
5,1,17,10
2,0,19,3
5,1,12,6
4,0,18,1
2,0,10,2
3,0,18,3
5,1,20,5
1,0,9,2
1,0,15,5
6,1,17,10
6,1,19,7
1,0,9,1
2,0,18,5
0,0,9,2
5,1,14,10
5,1,12,9
6,1,20,8
4,0,11,5
3,0,16,7
4,0,20,3
5,1,13,8
1,0,13,4
3,0,13,4
4,0,11,2
6,1,14,9
0,0,17,7
4,0,10,4
0,0,13,5
3,0,19,1
0,0,18,3
3,0,9,4
0,0,19,5
5,1,10,6
2,0,20,1
1,0,18,5
4,0,19,5
3,0,9,1
6,1,19,8
0,0,12,1
4,0,18,3
4,0,13,5
4,0,14,5
3,0,13,4
3,0,15,7
6,1,12,5
6,1,16,10
0,0,15,8
4,0,12,4
1,0,10,3
2,0,18,3
3,0,17,5
5,1,20,5
5,1,20,8
3,0,12,2
0,0,10,1
1,0,15,7
2,0,19,1
3,0,12,1
3,0,11,5
6,1,12,9
0,0,11,1
2,0,15,5
5,1,11,8
3,0,10,4
1,0,10,2
6,1,9,8
5,1,17,8
4,0,15,5
6,1,12,8
4,0,15,7
5,1,9,9
1,0,20,3
5,1,12,9
3,0,17,4
4,0,13,4
6,1,18,6
6,1,20,8
4,0,13,2
3,0,15,8
0,0,17,7
0,0,10,3
0,0,10,5
4,0,12,3
4,0,20,4
6,1,9,6
6,1,16,9
6,1,11,7
1,0,10,1
3,0,19,4
1,0,15,4
6,1,17,10
4,0,19,2
1,0,13,3
0,0,15,6
3,0,10,3
2,0,9,2
3,0,18,2
3,0,16,6
2,0,12,2
3,0,14,5
1,0,14,7
3,0,16,5
5,1,12,7
0,0,11,4
4,0,18,1
4,0,20,5
0,0,16,7
3,0,12,4
2,0,15,5
1,0,10,4
5,1,20,8
0,0,9,1
3,0,16,5
3,0,9,2
3,0,17,6
2,0,19,5
1,0,16,8
1,0,9,4
2,0,12,4
1,0,9,3
2,0,16,5
0,0,10,4
3,0,14,5
0,0,11,2
6,1,13,9
5,1,9,9
3,0,14,6
5,1,9,8
6,1,11,9
6,1,10,9
3,0,16,6
6,1,16,10
4,0,19,2
1,0,19,1
3,0,15,6
3,0,11,5
4,0,20,3
3,0,17,6
3,0,14,6
5,1,10,8
5,1,18,5
5,1,15,8
6,1,19,9
2,0,19,1
0,0,20,2
0,0,16,8
3,0,18,1
5,1,10,6
0,0,10,2
5,1,18,9
6,1,16,10
0,0,9,2
6,1,15,10
3,0,10,5
6,1,18,5
1,0,17,7
3,0,11,4
4,0,12,1
6,1,18,7
3,0,19,4
5,1,15,8
1,0,12,1
6,1,14,9
1,0,11,3
0,0,19,2
2,0,11,4
1,0,15,5
6,1,11,5
4,0,12,5
2,0,18,1
2,0,9,1
2,0,9,2
2,0,15,6
5,1,9,9
1,0,16,7
2,0,17,6
1,0,17,8
4,0,9,1
5,1,15,10
6,1,18,9
2,0,15,6
5,1,15,10
1,0,13,5
1,0,11,2
6,1,9,5
1,0,16,6
4,0,11,1
6,1,10,8
4,0,12,5
3,0,10,1
3,0,11,4
0,0,9,1
5,1,15,10
6,1,12,9
3,0,13,2
6,1,16,10
4,0,17,6
5,1,13,8
0,0,17,5
6,1,15,10
4,0,13,2
2,0,18,1
3,0,10,3
5,1,20,5
6,1,18,8
2,0,20,1
1,0,18,1
4,0,9,1
4,0,16,4
6,1,15,10
0,0,12,1
6,1,19,8
4,0,19,4
0,0,12,3
2,0,15,8
4,0,12,4
3,0,20,5
1,0,17,4
3,0,11,2
3,0,18,1
2,0,16,6
2,0,14,6
0,0,9,5
1,0,15,5
6,1,11,6
2,0,10,5
2,0,14,4
4,0,10,4
2,0,17,5
3,0,12,2
3,0,20,5
1,0,12,3
2,0,18,5
3,0,20,5
5,1,13,9
3,0,12,5
3,0,12,2
1,0,15,6
1,0,19,4
6,1,14,8
